product_id,name,description,category,material,occasion
PRD-1001,Trailblazer Trench Coat,"Designed for those who want stylish looks without sacrificing performance, this Gore-Tex trench coat is insulated and flexible from morning commutes to weekend adventures. Reviewers consistently praise how tough the construction feels, thanks to adjustable straps. It also features a slim, tapered fit for added versatility.",Outerwear,Gore-Tex,Business
PRD-1002,Summit Jacket,"This on-trend jacket is crafted from premium Down Fill for a look that works just as well on hiking trails and outdoor excursions. It's built to be cozy and durable, so it holds up to daily wear without losing its shape. The design includes a hidden interior pocket and a taped, seam-sealed construction, giving you both form and function in one piece.",Outerwear,Down Fill,Outdoor
PRD-1003,Voyager Oxford,"Whether you're headed out in the office or client meetings or just running errands, this waterproof oxford keeps you covered. The Synthetic construction is both airy and reinforced, and a hidden interior pocket adds a practical touch. Finished with an anti-odor treatment, it's a on-trend choice for almost any setting.",Footwear,Synthetic,Business
PRD-1004,Coastal Loafer,"Designed for those who want modern looks without sacrificing performance, this Synthetic loafer is windproof and breathable from morning commutes to weekend adventures. Reviewers consistently praise how durable the construction feels, thanks to a hidden interior pocket. It also features a relaxed, roomy fit for added versatility.",Footwear,Synthetic,Outdoor
PRD-1005,Horizon Trench Coat,"A wardrobe staple, this trench coat pairs elegant styling with a soft feel you'll want to wear all day. Made from Nylon, it's engineered to be hard-wearing season after season. Thoughtful details like a relaxed, roomy fit and reinforced stitching make it ideal while traveling or on the go.",Outerwear,Nylon,Travel
PRD-1006,Vantage Joggers,"A wardrobe staple, this joggers pairs elegant styling with a breathable feel you'll want to wear all day. Made from Denim, it's engineered to be durable season after season. Thoughtful details like a brushed interior finish and a hidden interior pocket make it ideal during workouts and high-intensity activity.",Bottoms,Denim,Activewear
PRD-1007,Trailblazer Chelsea Boot,"This chic chelsea boot is crafted from premium Mesh for a look that works just as well for a relaxed, everyday look. It's built to be flexible and reinforced, so it holds up to daily wear without losing its shape. The design includes articulated seams for freedom of movement and reflective trim for low-light visibility, giving you both form and function in one piece.",Footwear,Mesh,Casual
PRD-1008,Ridgeline Boot,"A wardrobe staple, this boot pairs elegant styling with a breathable feel you'll want to wear all day. Made from Mesh, it's engineered to be hard-wearing season after season. Thoughtful details like a slim, tapered fit and eco-friendly recycled materials make it ideal for weddings and other special events.",Footwear,Mesh,Wedding
PRD-1009,Nordic Boot,"Whether you're headed out in the office or client meetings or just running errands, this water-resistant boot keeps you covered. The Canvas construction is both flexible and hard-wearing, and articulated seams for freedom of movement adds a practical touch. Finished with reflective trim for low-light visibility, it's a elegant choice for almost any setting.",Footwear,Canvas,Business
PRD-1010,Summit Hoodie,"A wardrobe staple, this hoodie pairs stylish styling with a lightweight feel you'll want to wear all day. Made from Cotton, it's engineered to be hard-wearing season after season. Thoughtful details like articulated seams for freedom of movement and reflective trim for low-light visibility make it ideal for formal occasions and the office.",Tops,Cotton,Formal
PRD-1011,Alpine Henley,"Whether you're headed out in the office or client meetings or just running errands, this insulated henley keeps you covered. The Merino Wool construction is both lightweight and tough, and adjustable straps adds a practical touch. Finished with reflective trim for low-light visibility, it's a sleek choice for almost any setting.",Tops,Merino Wool,Business
PRD-1012,Alpine Scarf,"Whether you're headed out in the office or client meetings or just running errands, this waterproof scarf keeps you covered. The Stainless Steel construction is both cozy and sturdy, and a quick-release buckle adds a practical touch. Finished with a hidden interior pocket, it's a sleek choice for almost any setting.",Accessories,Stainless Steel,Business
PRD-1013,Nordic Anorak,"Whether you're headed out for formal occasions and the office or just running errands, this windproof anorak keeps you covered. The Gore-Tex construction is both soft and hard-wearing, and a brushed interior finish adds a practical touch. Finished with moisture-wicking lining, it's a chic choice for almost any setting.",Outerwear,Gore-Tex,Formal
PRD-1014,Summit Watch,"This sharp-looking watch is crafted from premium Stainless Steel for a look that works just as well during workouts and high-intensity activity. It's built to be airy and reinforced, so it holds up to daily wear without losing its shape. The design includes eco-friendly recycled materials and a reinforced toe cap, giving you both form and function in one piece.",Accessories,Stainless Steel,Activewear
PRD-1015,Nordic Henley,"Whether you're headed out for weddings and other special events or just running errands, this water-resistant henley keeps you covered. The Cotton construction is both airy and hard-wearing, and reinforced stitching adds a practical touch. Finished with a slim, tapered fit, it's a elegant choice for almost any setting.",Tops,Cotton,Wedding
PRD-1016,Coastal Tote Bag,"Designed for those who want sharp-looking looks without sacrificing performance, this Leather tote bag is insulated and lightweight from morning commutes to weekend adventures. Reviewers consistently praise how hard-wearing the construction feels, thanks to adjustable straps. It also features a quick-release buckle for added versatility.",Accessories,Leather,Travel
PRD-1017,Summit Windbreaker,"This sharp-looking windbreaker is crafted from premium Down Fill for a look that works just as well for weddings and other special events. It's built to be comfortable and long-lasting, so it holds up to daily wear without losing its shape. The design includes a taped, seam-sealed construction and a quick-release buckle, giving you both form and function in one piece.",Outerwear,Down Fill,Wedding
PRD-1018,Urban Jacket,"Whether you're headed out during workouts and high-intensity activity or just running errands, this water-resistant jacket keeps you covered. The Polyester construction is both cozy and reinforced, and double-stitched seams adds a practical touch. Finished with moisture-wicking lining, it's a sharp-looking choice for almost any setting.",Outerwear,Polyester,Activewear
PRD-1019,Nordic Trail Runner,"A wardrobe staple, this trail runner pairs on-trend styling with a soft feel you'll want to wear all day. Made from Synthetic, it's engineered to be rugged season after season. Thoughtful details like a reinforced toe cap and double-stitched seams make it ideal on hiking trails and outdoor excursions.",Footwear,Synthetic,Outdoor
PRD-1020,Ridgeline Sandal,"A wardrobe staple, this sandal pairs chic styling with a breathable feel you'll want to wear all day. Made from Synthetic, it's engineered to be rugged season after season. Thoughtful details like an anti-odor treatment and a reinforced toe cap make it ideal for weddings and other special events.",Footwear,Synthetic,Wedding
PRD-1021,Voyager Vest,"Designed for those who want stylish looks without sacrificing performance, this Nylon vest is quick-drying and breathable from morning commutes to weekend adventures. Reviewers consistently praise how tough the construction feels, thanks to a brushed interior finish. It also features a hidden interior pocket for added versatility.",Outerwear,Nylon,Casual
PRD-1022,Vantage Jacket,"A wardrobe staple, this jacket pairs sleek styling with a airy feel you'll want to wear all day. Made from Polyester, it's engineered to be tough season after season. Thoughtful details like moisture-wicking lining and a reinforced toe cap make it ideal for a relaxed, everyday look.",Outerwear,Polyester,Casual
PRD-1023,Horizon Oxford,"Whether you're headed out for formal occasions and the office or just running errands, this water-resistant oxford keeps you covered. The Canvas construction is both comfortable and sturdy, and a hidden interior pocket adds a practical touch. Finished with a relaxed, roomy fit, it's a chic choice for almost any setting.",Footwear,Canvas,Formal
PRD-1024,Metro Windbreaker,"Whether you're headed out in the office or client meetings or just running errands, this quick-drying windbreaker keeps you covered. The Gore-Tex construction is both flexible and durable, and articulated seams for freedom of movement adds a practical touch. Finished with an anti-odor treatment, it's a sharp-looking choice for almost any setting.",Outerwear,Gore-Tex,Business
PRD-1025,Metro Anorak,"This sleek anorak is crafted from premium Gore-Tex for a look that works just as well on hiking trails and outdoor excursions. It's built to be cozy and sturdy, so it holds up to daily wear without losing its shape. The design includes a hidden interior pocket and a taped, seam-sealed construction, giving you both form and function in one piece.",Outerwear,Gore-Tex,Outdoor
PRD-1026,Trailblazer Cargo Pants,"This sharp-looking cargo pants is crafted from premium Cotton Twill for a look that works just as well for weddings and other special events. It's built to be comfortable and hard-wearing, so it holds up to daily wear without losing its shape. The design includes an anti-odor treatment and a relaxed, roomy fit, giving you both form and function in one piece.",Bottoms,Cotton Twill,Wedding
PRD-1027,Summit Bomber Jacket,"This sharp-looking bomber jacket is crafted from premium Softshell for a look that works just as well during workouts and high-intensity activity. It's built to be lightweight and rugged, so it holds up to daily wear without losing its shape. The design includes a taped, seam-sealed construction and a relaxed, roomy fit, giving you both form and function in one piece.",Outerwear,Softshell,Activewear
PRD-1028,Alpine Leggings,"This stylish leggings is crafted from premium Corduroy for a look that works just as well for formal occasions and the office. It's built to be soft and long-lasting, so it holds up to daily wear without losing its shape. The design includes adjustable straps and articulated seams for freedom of movement, giving you both form and function in one piece.",Bottoms,Corduroy,Formal
PRD-1029,Cascade Blouse,"Whether you're headed out in the office or client meetings or just running errands, this insulated blouse keeps you covered. The Polyester construction is both lightweight and durable, and adjustable straps adds a practical touch. Finished with a hidden interior pocket, it's a modern choice for almost any setting.",Tops,Polyester,Business
