sku_id,product_id,size,stock_count,base_price,discount_percentage
SKU-1001-OneSize,PRD-1112,One Size,26,285.18,0.5
SKU-1002-7,PRD-1020,7,3,159.71,0.05
SKU-1003-S,PRD-1337,S,18,225.91,0.1
SKU-1004-S,PRD-1485,S,13,84.17,0.05
SKU-1005-XL,PRD-1234,XL,0,119.68,0.0
SKU-1006-OneSize,PRD-1128,One Size,10,277.64,0.5
SKU-1007-XXL,PRD-1015,XXL,28,157.94,0.0
SKU-1008-XL,PRD-1189,XL,2,288.23,0.25
SKU-1009-38,PRD-1334,38,40,193.78,0.25
SKU-1010-XL,PRD-1375,XL,13,263.25,0.25
SKU-1011-7,PRD-1041,7,0,295.62,0.3
SKU-1012-M,PRD-1054,M,0,131.4,0.4
SKU-1013-32,PRD-1147,32,0,35.15,0.2
SKU-1014-L,PRD-1361,L,6,283.09,0.0
SKU-1015-10,PRD-1313,10,0,117.23,0.5
SKU-1016-12,PRD-1449,12,4,68.93,0.0
SKU-1017-42,PRD-1377,42,0,108.37,0.0
SKU-1018-XS,PRD-1018,XS,25,208.74,0.2
SKU-1019-10,PRD-1043,10,0,48.2,0.15
SKU-1020-36,PRD-1254,36,27,72.39,0.1
SKU-1021-S,PRD-1132,S,34,95.42,0.4
SKU-1022-OneSize,PRD-1116,One Size,0,122.45,0.25
SKU-1023-OneSize,PRD-1382,One Size,20,78.94,0.15
SKU-1024-OneSize,PRD-1180,One Size,45,259.2,0.1
SKU-1025-9,PRD-1218,9,41,70.36,0.0
SKU-1026-XL,PRD-1032,XL,15,212.07,0.0
SKU-1027-XXL,PRD-1287,XXL,15,95.58,0.05
SKU-1028-XL,PRD-1172,XL,0,141.01,0.2
SKU-1029-S,PRD-1013,S,0,60.83,0.0
SKU-1030-OneSize,PRD-1446,One Size,22,245.58,0.0
SKU-1031-L,PRD-1236,L,28,159.88,0.5
SKU-1032-XL,PRD-1117,XL,31,169.51,0.15
SKU-1033-OneSize,PRD-1268,One Size,4,104.0,0.3
SKU-1034-XL,PRD-1419,XL,33,33.35,0.0
SKU-1035-11,PRD-1472,11,28,65.73,0.05
SKU-1036-OneSize,PRD-1063,One Size,42,153.42,0.5
SKU-1037-30,PRD-1359,30,4,145.95,0.15
SKU-1038-M,PRD-1404,M,20,121.06,0.3
SKU-1039-XL,PRD-1284,XL,8,280.91,0.1
SKU-1040-8,PRD-1271,8,18,25.54,0.0
SKU-1041-38,PRD-1317,38,24,262.85,0.4
SKU-1042-34,PRD-1272,34,18,181.51,0.5
SKU-1043-32,PRD-1091,32,23,294.21,0.1
SKU-1044-8,PRD-1062,8,0,111.02,0.3
SKU-1045-OneSize,PRD-1328,One Size,46,236.92,0.25
SKU-1046-6,PRD-1058,6,27,126.69,0.1
SKU-1047-OneSize,PRD-1280,One Size,16,196.87,0.0
SKU-1048-32,PRD-1104,32,21,199.35,0.15
SKU-1049-OneSize,PRD-1406,One Size,4,196.75,0.4
SKU-1050-L,PRD-1126,L,12,257.68,0.0
SKU-1051-OneSize,PRD-1210,One Size,3,65.35,0.05
SKU-1052-M,PRD-1386,M,1,108.72,0.1
SKU-1053-11,PRD-1202,11,4,94.88,0.5
SKU-1054-9,PRD-1007,9,43,95.94,0.25
SKU-1055-12,PRD-1354,12,48,261.58,0.15
SKU-1056-XXL,PRD-1027,XXL,21,184.33,0.25
SKU-1057-9,PRD-1070,9,14,66.84,0.0
SKU-1058-S,PRD-1017,S,19,223.77,0.5
SKU-1059-M,PRD-1450,M,31,283.31,0.0
SKU-1060-34,PRD-1396,34,18,66.72,0.0
SKU-1061-30,PRD-1486,30,39,37.85,0.25
SKU-1062-28,PRD-1191,28,7,27.37,0.2
SKU-1063-30,PRD-1347,30,28,49.09,0.4
SKU-1064-OneSize,PRD-1275,One Size,12,43.6,0.2
SKU-1065-M,PRD-1256,M,0,84.21,0.1
SKU-1066-9,PRD-1393,9,17,195.4,0.0
SKU-1067-32,PRD-1068,32,32,27.99,0.5
SKU-1068-8,PRD-1045,8,24,260.89,0.15
SKU-1069-42,PRD-1160,42,22,150.8,0.3
SKU-1070-M,PRD-1080,M,20,173.58,0.0
SKU-1071-OneSize,PRD-1371,One Size,8,185.42,0.25
SKU-1072-XXL,PRD-1205,XXL,7,229.69,0.4
SKU-1073-OneSize,PRD-1384,One Size,0,166.56,0.5
SKU-1074-XL,PRD-1175,XL,43,106.7,0.15
SKU-1075-9,PRD-1222,9,1,171.1,0.0
SKU-1076-L,PRD-1480,L,44,106.19,0.2
SKU-1077-M,PRD-1232,M,36,63.59,0.0
SKU-1078-28,PRD-1216,28,50,166.52,0.0
SKU-1079-OneSize,PRD-1327,One Size,9,100.28,0.3
SKU-1080-6,PRD-1470,6,22,212.57,0.25
SKU-1081-L,PRD-1281,L,24,103.88,0.2
SKU-1082-36,PRD-1448,36,48,187.15,0.0
